id,timestamp,target_id,temperature,cpu_load
6baa883ae44211e58384b827eb1899c4,1457340962997.0,pi0,50.3,99.3
6be05ba4e44211e58384b827eb1899c4,1457340963350.0,pi0,49.8,100.0
6c172c7ee44211e58384b827eb1899c4,1457340963709.0,pi0,49.8,100.0
6c47f728e44211e58384b827eb1899c4,1457340964029.0,pi0,49.8,100.0
6c806d06e44211e58384b827eb1899c4,1457340964399.0,pi0,49.8,100.0
6cae5a36e44211e58384b827eb1899c4,1457340964700.0,pi0,49.8,100.0
6cdd8356e44211e58384b827eb1899c4,1457340965009.0,pi0,49.2,100.0
6d16bffee44211e58384b827eb1899c4,1457340965384.0,pi0,49.8,98.6
6d40b020e44211e58384b827eb1899c4,1457340965659.0,pi0,49.8,100.0
6d730ac0e44211e58384b827eb1899c4,1457340965989.0,pi0,50.3,100.0
6da3ea14e44211e58384b827eb1899c4,1457340966309.0,pi0,49.8,100.0
